datetime,index_value,vol,total_qtty
2025-11-06 02:15:00.091,1654.89,1657,1657
2025-11-06 02:16:05.091,1655.97,149077,5896050
2025-11-06 02:17:10.086,1653.7,125817,7852145
2025-11-06 02:18:15.086,1653.76,123810,9664588
2025-11-06 02:19:15.088,1653.0,56224,11086467
2025-11-06 02:20:20.086,1652.94,134096,12528099
2025-11-06 02:21:20.091,1653.59,97109,14034607
2025-11-06 02:22:25.087,1654.79,169854,15677235
2025-11-06 02:23:30.086,1655.18,145558,17482631
2025-11-06 02:24:30.087,1655.19,160699,19286832
2025-11-06 02:25:35.087,1656.73,80744,20891058
2025-11-06 02:26:35.089,1656.08,128023,22498562
2025-11-06 02:27:40.086,1654.7,143069,24756077
2025-11-06 02:28:45.085,1654.55,122796,26761773
2025-11-06 02:29:45.086,1653.73,89170,29137252
2025-11-06 02:30:50.086,1651.48,80002,31582892
2025-11-06 02:31:55.089,1651.86,103327,32868277
2025-11-06 02:33:00.088,1650.82,173402,34786522
2025-11-06 02:34:00.094,1649.12,308435,37358561
2025-11-06 02:35:05.086,1649.92,149119,39239944
2025-11-06 02:36:10.085,1650.47,85033,41634576
2025-11-06 02:37:10.086,1650.92,197483,43659561
2025-11-06 02:38:15.086,1651.42,101778,45457729
2025-11-06 02:39:20.087,1651.82,113509,47112097
2025-11-06 02:40:25.090,1651.71,124898,49451175
2025-11-06 02:41:30.085,1653.06,157334,51313567
2025-11-06 02:42:35.084,1654.6,127984,53024918
2025-11-06 02:43:35.087,1656.38,104530,54887497
2025-11-06 02:44:40.086,1655.86,73310,56795411
2025-11-06 02:45:40.089,1656.49,138370,58357945
2025-11-06 02:46:45.085,1656.26,72262,60570157
2025-11-06 02:47:50.087,1657.93,167808,62747502
2025-11-06 02:48:55.085,1656.97,284901,64741353
2025-11-06 02:49:55.086,1656.1,72784,65946251
2025-11-06 02:50:55.089,1655.73,161630,67894177
2025-11-06 02:52:00.088,1655.43,151889,69686086
2025-11-06 02:53:05.087,1654.95,99782,71356934
2025-11-06 02:54:10.084,1655.4,161931,73287011
2025-11-06 02:55:10.085,1655.5,134012,74729757
2025-11-06 02:56:10.088,1657.15,198261,76751465
2025-11-06 02:57:10.089,1657.8,186597,78361196
2025-11-06 02:58:15.086,1658.54,130513,80287112
2025-11-06 02:59:20.087,1658.34,112710,81915280
2025-11-06 03:00:25.088,1657.36,382633,83934824
2025-11-06 03:01:30.086,1656.54,68411,85892937
2025-11-06 03:02:30.087,1655.63,83161,87738860
2025-11-06 03:03:35.086,1655.41,91766,89434754
2025-11-06 03:04:40.087,1654.49,154383,91786538
2025-11-06 03:05:45.086,1653.86,110945,94039217
2025-11-06 03:06:45.090,1653.28,176589,96385670
2025-11-06 03:07:50.086,1652.78,124319,97925719
2025-11-06 03:08:55.086,1652.62,76718,99421059
2025-11-06 03:10:00.087,1652.59,343828,102647575
2025-11-06 03:11:05.086,1652.68,156553,104660974
2025-11-06 03:12:05.087,1652.99,145846,106359177
2025-11-06 03:13:10.086,1652.98,158241,108001709
2025-11-06 03:14:10.088,1652.68,58219,108921032
2025-11-06 03:15:15.086,1652.52,135047,110487484
2025-11-06 03:16:15.088,1652.16,140487,111624181
2025-11-06 03:17:20.086,1651.85,118799,113359914
2025-11-06 03:18:20.088,1652.33,75791,114677553
2025-11-06 03:19:25.087,1651.96,53894,116000962
2025-11-06 03:20:30.086,1651.5,175906,117579210
2025-11-06 03:21:30.088,1651.0,355771,119527496
2025-11-06 03:22:35.085,1650.92,137852,122112491
2025-11-06 03:23:35.086,1651.06,98032,123591238
2025-11-06 03:24:35.090,1651.02,539089,125192496
2025-11-06 03:25:40.085,1650.74,83860,126719522
2025-11-06 03:26:40.087,1650.78,109814,127866673
2025-11-06 03:27:45.086,1650.47,106212,129324513
2025-11-06 03:28:45.087,1650.42,49733,130753044
2025-11-06 03:29:50.085,1649.59,139670,132106103
2025-11-06 03:30:55.087,1649.07,178914,134170352
2025-11-06 03:32:00.090,1648.36,236529,136253982
2025-11-06 03:33:05.086,1647.84,100300,138473284
2025-11-06 03:34:10.093,1647.73,112663,140818688
2025-11-06 03:35:15.087,1647.4,90158,142323938
2025-11-06 03:36:15.088,1647.66,51673,143721463
2025-11-06 03:37:20.086,1648.02,142667,145617626
2025-11-06 03:38:20.087,1647.45,215534,147396020
2025-11-06 03:39:25.097,1647.47,174729,148998344
2025-11-06 03:40:30.086,1646.8,263244,151108732
